Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-04-13,E.T. the Extra-Terrestrial,1982,https://boxd.it/1N7EjP,3,Yes,,2003-04-13
2021-04-13,The Wizard of Oz,1939,https://boxd.it/1N7DuR,5,Yes,,2009-07-13
2021-04-13,TRON: Legacy,2010,https://boxd.it/1N7DLN,2,Yes,,2010-04-13
2021-04-13,Casino Royale,2006,https://boxd.it/1N7F8N,4,Yes,,2012-04-13
2021-04-13,Rio,2011,https://boxd.it/1N7FqH,4,Yes,,2012-04-13
2021-04-13,Skyfall,2012,https://boxd.it/1N7F3j,3,Yes,,2012-10-02
2021-04-13,My Neighbor Totoro,1988,https://boxd.it/1N7Ctt,5,Yes,,2014-01-13
2021-04-13,The Flowers of War,2011,https://boxd.it/1N7Gnp,5,Yes,,2014-02-13
2021-04-13,Arabian Nights,1974,https://boxd.it/1N7D6v,3,Yes,,2014-04-13
2021-04-13,Spectre,2015,https://boxd.it/1N7FcP,3,Yes,,2015-04-11
2021-04-13,Captain Phillips,2013,https://boxd.it/1N7EP7,5,Yes,,2015-05-27
2021-04-13,A Streetcar Named Desire,1951,https://boxd.it/1N7DDp,4,Yes,,2015-10-16
2021-04-13,Paris Is Burning,1990,https://boxd.it/1N7DWL,4,Yes,,2016-05-27
2021-04-13,Encino Man,1992,https://boxd.it/1N7E83,3,Yes,,2017-02-03
2021-04-13,54,1998,https://boxd.it/1N7Bxf,5,Yes,,2017-04-13
2021-04-13,Ferris Bueller's Day Off,1986,https://boxd.it/1N7DmN,4,Yes,,2017-11-12
2021-04-13,Airplane!,1980,https://boxd.it/1N7DcX,4,Yes,,2019-01-13
2021-04-13,Bohemian Rhapsody,2018,https://boxd.it/1N7ECR,5,Yes,,2019-06-17
2021-04-13,Groove,2000,https://boxd.it/1N7BlD,5,Yes,,2019-08-13
2021-04-13,Vamp,1986,https://boxd.it/1N7CID,3,Yes,,2020-03-09
2021-04-13,Boomerang,1992,https://boxd.it/1N7CEV,4,Yes,,2020-03-13
2021-04-13,Grace Jones: Bloodlight and Bami,2017,https://boxd.it/1N7Et1,5,Yes,,2020-04-10
2021-04-13,Maltese Flamingo,1986,https://boxd.it/1N7BJP,5,Yes,,2021-02-13
2021-04-15,God's Own Country,2017,https://boxd.it/1NjWYZ,4,Yes,,2021-04-03
2021-04-13,Coming to America,1988,https://boxd.it/1N7CfL,4,Yes,,2021-04-04
2021-04-13,Running from Crazy,2013,https://boxd.it/1N7BTb,4,Yes,,2021-04-11
2021-04-13,Breakfast at Tiffany's,1961,https://boxd.it/1N7D0n,3,Yes,,2021-04-11
2021-04-13,Go,1999,https://boxd.it/1N7Bb9,3,Yes,,2021-04-13
2021-04-15,The Flowers of War,2011,https://boxd.it/1NjUEN,5,Yes,,2021-04-14
2021-04-15,Julie & Julia,2009,https://boxd.it/1NlEEL,3,Yes,,2021-04-14
